"Sensitivity","Precision","TP","Truth","TP_tmp","FP","T_coverage","N_coverage","VAF","BND_threshold"
0.0157142857142857,0.826923076923077,22,1400,43,9,20,15,0.05,2
0.0157142857142857,0.826923076923077,22,1400,43,9,20,15,0.05,5
0.0157142857142857,0.826923076923077,22,1400,43,9,20,15,0.05,50
0.0178571428571429,0.884615384615385,25,1400,46,6,20,15,0.05,100
0.0178571428571429,0.938775510204082,25,1400,46,3,20,15,0.05,150
0.0178571428571429,0.978723404255319,25,1400,46,1,20,15,0.05,200
0.0878571428571429,0.784452296819788,123,1400,222,61,20,15,0.1,2
0.09,0.804270462633452,126,1400,226,55,20,15,0.1,5
0.095,0.835714285714286,133,1400,234,46,20,15,0.1,50
0.104285714285714,0.888888888888889,146,1400,248,31,20,15,0.1,100
0.105714285714286,0.950757575757576,148,1400,251,13,20,15,0.1,150
0.105714285714286,0.976653696498054,148,1400,251,6,20,15,0.1,200
0.329285714285714,0.810227272727273,461,1400,713,167,20,15,0.2,2
0.334285714285714,0.830275229357798,468,1400,724,148,20,15,0.2,5
0.358571428571429,0.888111888111888,502,1400,762,96,20,15,0.2,50
0.380714285714286,0.945562130177515,533,1400,799,46,20,15,0.2,100
0.387142857142857,0.974668275030157,542,1400,808,21,20,15,0.2,150
0.387142857142857,0.978208232445521,542,1400,808,18,20,15,0.2,200
0.696428571428571,0.922041105598866,975,1400,1301,110,20,15,0.5,2
0.71,0.946275071633238,994,1400,1321,75,20,15,0.5,5
0.726428571428571,0.963467048710602,1017,1400,1345,51,20,15,0.5,50
0.741428571428571,0.973627940128296,1038,1400,1366,37,20,15,0.5,100
0.741428571428571,0.973627940128296,1038,1400,1366,37,20,15,0.5,150
0.741428571428571,0.973627940128296,1038,1400,1366,37,20,15,0.5,200
0.798571428571429,0.94087069525666,1118,1400,1448,91,20,15,0.8,2
0.817857142857143,0.967847769028871,1145,1400,1475,49,20,15,0.8,5
0.821428571428571,0.969855832241153,1150,1400,1480,46,20,15,0.8,50
0.825,0.970588235294118,1155,1400,1485,45,20,15,0.8,100
0.825,0.971223021582734,1155,1400,1485,44,20,15,0.8,150
0.825,0.971223021582734,1155,1400,1485,44,20,15,0.8,200
0.840714285714286,0.936567164179104,1177,1400,1506,102,20,15,1,2
0.857142857142857,0.959824231010672,1200,1400,1529,64,20,15,1,5
0.859285714285714,0.961731493099122,1203,1400,1533,61,20,15,1,50
0.863571428571429,0.961875,1209,1400,1539,61,20,15,1,100
0.863571428571429,0.961875,1209,1400,1539,61,20,15,1,150
0.863571428571429,0.962476547842402,1209,1400,1539,60,20,15,1,200
0.0185714285714286,0.786885245901639,26,1400,48,13,20,30,0.05,2
0.0185714285714286,0.786885245901639,26,1400,48,13,20,30,0.05,5
0.0185714285714286,0.786885245901639,26,1400,48,13,20,30,0.05,50
0.0214285714285714,0.852459016393443,30,1400,52,9,20,30,0.05,100
0.0214285714285714,0.928571428571429,30,1400,52,4,20,30,0.05,150
0.0214285714285714,0.981132075471698,30,1400,52,1,20,30,0.05,200
0.0992857142857143,0.789644012944984,139,1400,244,65,20,30,0.1,2
0.102142857142857,0.811074918566775,143,1400,249,58,20,30,0.1,5
0.107142857142857,0.837133550488599,150,1400,257,50,20,30,0.1,50
0.117857142857143,0.892156862745098,165,1400,273,33,20,30,0.1,100
0.119285714285714,0.948453608247423,167,1400,276,15,20,30,0.1,150
0.119285714285714,0.978723404255319,167,1400,276,6,20,30,0.1,200
0.345714285714286,0.812638580931264,484,1400,733,169,20,30,0.2,2
0.351428571428571,0.833333333333333,492,1400,745,149,20,30,0.2,5
0.376428571428571,0.890909090909091,527,1400,784,96,20,30,0.2,50
0.397857142857143,0.949132947976879,557,1400,821,44,20,30,0.2,100
0.405,0.975352112676056,567,1400,831,21,20,30,0.2,150
0.405,0.978798586572438,567,1400,831,18,20,30,0.2,200
0.754285714285714,0.918936877076412,1056,1400,1383,122,20,30,0.5,2
0.767857142857143,0.941610738255034,1075,1400,1403,87,20,30,0.5,5
0.783571428571429,0.957046979865772,1097,1400,1426,64,20,30,0.5,50
0.798571428571429,0.966599866399466,1118,1400,1447,50,20,30,0.5,100
0.798571428571429,0.966599866399466,1118,1400,1447,50,20,30,0.5,150
0.798571428571429,0.966599866399466,1118,1400,1447,50,20,30,0.5,200
0.840714285714286,0.933250927070457,1177,1400,1510,108,20,30,0.8,2
0.86,0.958827199001872,1204,1400,1537,66,20,30,0.8,5
0.863571428571429,0.960747663551402,1209,1400,1542,63,20,30,0.8,50
0.867142857142857,0.961466749533872,1214,1400,1547,62,20,30,0.8,100
0.867142857142857,0.962064676616915,1214,1400,1547,61,20,30,0.8,150
0.867142857142857,0.962064676616915,1214,1400,1547,61,20,30,0.8,200
0.855,0.929440389294404,1197,1400,1528,116,20,30,1,2
0.870714285714286,0.950920245398773,1219,1400,1550,80,20,30,1,5
0.872857142857143,0.952789699570815,1222,1400,1554,77,20,30,1,50
0.876428571428571,0.952933985330073,1227,1400,1559,77,20,30,1,100
0.876428571428571,0.952933985330073,1227,1400,1559,77,20,30,1,150
0.876428571428571,0.953516819571865,1227,1400,1559,76,20,30,1,200
0.0221428571428571,0.830769230769231,31,1400,54,11,20,45,0.05,2
0.0221428571428571,0.830769230769231,31,1400,54,11,20,45,0.05,5
0.0221428571428571,0.830769230769231,31,1400,54,11,20,45,0.05,50
0.0242857142857143,0.890625,34,1400,57,7,20,45,0.05,100
0.0242857142857143,0.95,34,1400,57,3,20,45,0.05,150
0.0242857142857143,0.982758620689655,34,1400,57,1,20,45,0.05,200
0.104285714285714,0.785488958990536,146,1400,249,68,20,45,0.1,2
0.107857142857143,0.80952380952381,151,1400,255,60,20,45,0.1,5
0.112857142857143,0.840255591054313,158,1400,263,50,20,45,0.1,50
0.122857142857143,0.893890675241158,172,1400,278,33,20,45,0.1,100
0.124285714285714,0.949324324324324,174,1400,281,15,20,45,0.1,150
0.125,0.979166666666667,175,1400,282,6,20,45,0.1,200
0.358571428571429,0.825327510917031,502,1400,756,160,20,45,0.2,2
0.365,0.846916299559471,511,1400,769,139,20,45,0.2,5
0.387857142857143,0.899441340782123,543,1400,805,90,20,45,0.2,50
0.407857142857143,0.952272727272727,571,1400,838,42,20,45,0.2,100
0.414285714285714,0.975806451612903,580,1400,847,21,20,45,0.2,150
0.414285714285714,0.979190751445087,580,1400,847,18,20,45,0.2,200
0.755714285714286,0.918435013262599,1058,1400,1385,123,20,45,0.5,2
0.768571428571429,0.940388479571333,1076,1400,1404,89,20,45,0.5,5
0.785714285714286,0.957774798927614,1100,1400,1429,63,20,45,0.5,50
0.801428571428571,0.967333333333333,1122,1400,1451,49,20,45,0.5,100
0.801428571428571,0.967333333333333,1122,1400,1451,49,20,45,0.5,150
0.801428571428571,0.967333333333333,1122,1400,1451,49,20,45,0.5,200
0.843571428571429,0.932840418977203,1181,1400,1514,109,20,45,0.8,2
0.862142857142857,0.95771144278607,1207,1400,1540,68,20,45,0.8,5
0.865714285714286,0.959627329192547,1212,1400,1545,65,20,45,0.8,50
0.869285714285714,0.960346964064436,1217,1400,1550,64,20,45,0.8,100
