"Sensitivity","Precision","T_coverage","N_coverage","VAF","BND_threshold","RUN","REP","Caller"
0.0157142857142857,0.826923076923077,20,15,0.05,2,"RUN1","SVEngine1","Manta"
0.0157142857142857,0.826923076923077,20,15,0.05,5,"RUN1","SVEngine1","Manta"
0.0157142857142857,0.826923076923077,20,15,0.05,50,"RUN1","SVEngine1","Manta"
0.0178571428571429,0.884615384615385,20,15,0.05,100,"RUN1","SVEngine1","Manta"
0.0178571428571429,0.938775510204082,20,15,0.05,150,"RUN1","SVEngine1","Manta"
0.0178571428571429,0.978723404255319,20,15,0.05,200,"RUN1","SVEngine1","Manta"
0.0878571428571429,0.784452296819788,20,15,0.1,2,"RUN1","SVEngine1","Manta"
0.09,0.804270462633452,20,15,0.1,5,"RUN1","SVEngine1","Manta"
0.095,0.835714285714286,20,15,0.1,50,"RUN1","SVEngine1","Manta"
0.104285714285714,0.888888888888889,20,15,0.1,100,"RUN1","SVEngine1","Manta"
0.105714285714286,0.950757575757576,20,15,0.1,150,"RUN1","SVEngine1","Manta"
0.105714285714286,0.976653696498054,20,15,0.1,200,"RUN1","SVEngine1","Manta"
0.329285714285714,0.810227272727273,20,15,0.2,2,"RUN1","SVEngine1","Manta"
0.334285714285714,0.830275229357798,20,15,0.2,5,"RUN1","SVEngine1","Manta"
0.358571428571429,0.888111888111888,20,15,0.2,50,"RUN1","SVEngine1","Manta"
0.380714285714286,0.945562130177515,20,15,0.2,100,"RUN1","SVEngine1","Manta"
0.387142857142857,0.974668275030157,20,15,0.2,150,"RUN1","SVEngine1","Manta"
0.387142857142857,0.978208232445521,20,15,0.2,200,"RUN1","SVEngine1","Manta"
0.696428571428571,0.922041105598866,20,15,0.5,2,"RUN1","SVEngine1","Manta"
0.71,0.946275071633238,20,15,0.5,5,"RUN1","SVEngine1","Manta"
0.726428571428571,0.963467048710602,20,15,0.5,50,"RUN1","SVEngine1","Manta"
0.741428571428571,0.973627940128296,20,15,0.5,100,"RUN1","SVEngine1","Manta"
0.741428571428571,0.973627940128296,20,15,0.5,150,"RUN1","SVEngine1","Manta"
0.741428571428571,0.973627940128296,20,15,0.5,200,"RUN1","SVEngine1","Manta"
0.798571428571429,0.94087069525666,20,15,0.8,2,"RUN1","SVEngine1","Manta"
0.817857142857143,0.967847769028871,20,15,0.8,5,"RUN1","SVEngine1","Manta"
0.821428571428571,0.969855832241153,20,15,0.8,50,"RUN1","SVEngine1","Manta"
0.825,0.970588235294118,20,15,0.8,100,"RUN1","SVEngine1","Manta"
0.825,0.971223021582734,20,15,0.8,150,"RUN1","SVEngine1","Manta"
0.825,0.971223021582734,20,15,0.8,200,"RUN1","SVEngine1","Manta"
0.840714285714286,0.936567164179104,20,15,1,2,"RUN1","SVEngine1","Manta"
0.857142857142857,0.959824231010672,20,15,1,5,"RUN1","SVEngine1","Manta"
0.859285714285714,0.961731493099122,20,15,1,50,"RUN1","SVEngine1","Manta"
0.863571428571429,0.961875,20,15,1,100,"RUN1","SVEngine1","Manta"
0.863571428571429,0.961875,20,15,1,150,"RUN1","SVEngine1","Manta"
0.863571428571429,0.962476547842402,20,15,1,200,"RUN1","SVEngine1","Manta"
0.0185714285714286,0.786885245901639,20,30,0.05,2,"RUN1","SVEngine1","Manta"
0.0185714285714286,0.786885245901639,20,30,0.05,5,"RUN1","SVEngine1","Manta"
0.0185714285714286,0.786885245901639,20,30,0.05,50,"RUN1","SVEngine1","Manta"
0.0214285714285714,0.852459016393443,20,30,0.05,100,"RUN1","SVEngine1","Manta"
0.0214285714285714,0.928571428571429,20,30,0.05,150,"RUN1","SVEngine1","Manta"
0.0214285714285714,0.981132075471698,20,30,0.05,200,"RUN1","SVEngine1","Manta"
0.0992857142857143,0.789644012944984,20,30,0.1,2,"RUN1","SVEngine1","Manta"
0.102142857142857,0.811074918566775,20,30,0.1,5,"RUN1","SVEngine1","Manta"
0.107142857142857,0.837133550488599,20,30,0.1,50,"RUN1","SVEngine1","Manta"
0.117857142857143,0.892156862745098,20,30,0.1,100,"RUN1","SVEngine1","Manta"
0.119285714285714,0.948453608247423,20,30,0.1,150,"RUN1","SVEngine1","Manta"
0.119285714285714,0.978723404255319,20,30,0.1,200,"RUN1","SVEngine1","Manta"
0.345714285714286,0.812638580931264,20,30,0.2,2,"RUN1","SVEngine1","Manta"
0.351428571428571,0.833333333333333,20,30,0.2,5,"RUN1","SVEngine1","Manta"
0.376428571428571,0.890909090909091,20,30,0.2,50,"RUN1","SVEngine1","Manta"
0.397857142857143,0.949132947976879,20,30,0.2,100,"RUN1","SVEngine1","Manta"
0.405,0.975352112676056,20,30,0.2,150,"RUN1","SVEngine1","Manta"
0.405,0.978798586572438,20,30,0.2,200,"RUN1","SVEngine1","Manta"
0.754285714285714,0.918936877076412,20,30,0.5,2,"RUN1","SVEngine1","Manta"
0.767857142857143,0.941610738255034,20,30,0.5,5,"RUN1","SVEngine1","Manta"
0.783571428571429,0.957046979865772,20,30,0.5,50,"RUN1","SVEngine1","Manta"
0.798571428571429,0.966599866399466,20,30,0.5,100,"RUN1","SVEngine1","Manta"
0.798571428571429,0.966599866399466,20,30,0.5,150,"RUN1","SVEngine1","Manta"
0.798571428571429,0.966599866399466,20,30,0.5,200,"RUN1","SVEngine1","Manta"
0.840714285714286,0.933250927070457,20,30,0.8,2,"RUN1","SVEngine1","Manta"
0.86,0.958827199001872,20,30,0.8,5,"RUN1","SVEngine1","Manta"
0.863571428571429,0.960747663551402,20,30,0.8,50,"RUN1","SVEngine1","Manta"
0.867142857142857,0.961466749533872,20,30,0.8,100,"RUN1","SVEngine1","Manta"
0.867142857142857,0.962064676616915,20,30,0.8,150,"RUN1","SVEngine1","Manta"
0.867142857142857,0.962064676616915,20,30,0.8,200,"RUN1","SVEngine1","Manta"
0.855,0.929440389294404,20,30,1,2,"RUN1","SVEngine1","Manta"
0.870714285714286,0.950920245398773,20,30,1,5,"RUN1","SVEngine1","Manta"
0.872857142857143,0.952789699570815,20,30,1,50,"RUN1","SVEngine1","Manta"
0.876428571428571,0.952933985330073,20,30,1,100,"RUN1","SVEngine1","Manta"
0.876428571428571,0.952933985330073,20,30,1,150,"RUN1","SVEngine1","Manta"
0.876428571428571,0.953516819571865,20,30,1,200,"RUN1","SVEngine1","Manta"
0.0221428571428571,0.830769230769231,20,45,0.05,2,"RUN1","SVEngine1","Manta"
0.0221428571428571,0.830769230769231,20,45,0.05,5,"RUN1","SVEngine1","Manta"
0.0221428571428571,0.830769230769231,20,45,0.05,50,"RUN1","SVEngine1","Manta"
0.0242857142857143,0.890625,20,45,0.05,100,"RUN1","SVEngine1","Manta"
0.0242857142857143,0.95,20,45,0.05,150,"RUN1","SVEngine1","Manta"
0.0242857142857143,0.982758620689655,20,45,0.05,200,"RUN1","SVEngine1","Manta"
0.104285714285714,0.785488958990536,20,45,0.1,2,"RUN1","SVEngine1","Manta"
0.107857142857143,0.80952380952381,20,45,0.1,5,"RUN1","SVEngine1","Manta"
0.112857142857143,0.840255591054313,20,45,0.1,50,"RUN1","SVEngine1","Manta"
0.122857142857143,0.893890675241158,20,45,0.1,100,"RUN1","SVEngine1","Manta"
0.124285714285714,0.949324324324324,20,45,0.1,150,"RUN1","SVEngine1","Manta"
0.125,0.979166666666667,20,45,0.1,200,"RUN1","SVEngine1","Manta"
0.358571428571429,0.825327510917031,20,45,0.2,2,"RUN1","SVEngine1","Manta"
0.365,0.846916299559471,20,45,0.2,5,"RUN1","SVEngine1","Manta"
0.387857142857143,0.899441340782123,20,45,0.2,50,"RUN1","SVEngine1","Manta"
0.407857142857143,0.952272727272727,20,45,0.2,100,"RUN1","SVEngine1","Manta"
0.414285714285714,0.975806451612903,20,45,0.2,150,"RUN1","SVEngine1","Manta"
0.414285714285714,0.979190751445087,20,45,0.2,200,"RUN1","SVEngine1","Manta"
0.755714285714286,0.918435013262599,20,45,0.5,2,"RUN1","SVEngine1","Manta"
0.768571428571429,0.940388479571333,20,45,0.5,5,"RUN1","SVEngine1","Manta"
0.785714285714286,0.957774798927614,20,45,0.5,50,"RUN1","SVEngine1","Manta"
0.801428571428571,0.967333333333333,20,45,0.5,100,"RUN1","SVEngine1","Manta"
0.801428571428571,0.967333333333333,20,45,0.5,150,"RUN1","SVEngine1","Manta"
0.801428571428571,0.967333333333333,20,45,0.5,200,"RUN1","SVEngine1","Manta"
0.843571428571429,0.932840418977203,20,45,0.8,2,"RUN1","SVEngine1","Manta"
0.862142857142857,0.95771144278607,20,45,0.8,5,"RUN1","SVEngine1","Manta"
0.865714285714286,0.959627329192547,20,45,0.8,50,"RUN1","SVEngine1","Manta"
0.869285714285714,0.960346964064436,20,45,0.8,100,"RUN1","SVEngine1","Manta"
0.869285714285714,0.960942343459392,20,45,0.8,150,"RUN1","SVEngine1","Manta"
0.869285714285714,0.960942343459392,20,45,0.8,200,"RUN1","SVEngine1","Manta"
0.857142857142857,0.928441479684657,20,45,1,2,"RUN1","SVEngine1","Manta"
0.873571428571429,0.951040391676867,20,45,1,5,"RUN1","SVEngine1","Manta"
0.875714285714286,0.952905198776758,20,45,1,50,"RUN1","SVEngine1","Manta"
0.88,0.953077391834247,20,45,1,100,"RUN1","SVEngine1","Manta"
0.88,0.953077391834247,20,45,1,150,"RUN1","SVEngine1","Manta"
0.88,0.953658536585366,20,45,1,200,"RUN1","SVEngine1","Manta"
0.0228571428571429,0.808823529411765,20,60,0.05,2,"RUN1","SVEngine1","Manta"
0.0228571428571429,0.808823529411765,20,60,0.05,5,"RUN1","SVEngine1","Manta"
0.0228571428571429,0.808823529411765,20,60,0.05,50,"RUN1","SVEngine1","Manta"
0.025,0.865671641791045,20,60,0.05,100,"RUN1","SVEngine1","Manta"
0.025,0.920634920634921,20,60,0.05,150,"RUN1","SVEngine1","Manta"
0.025,0.966666666666667,20,60,0.05,200,"RUN1","SVEngine1","Manta"
0.104285714285714,0.786377708978328,20,60,0.1,2,"RUN1","SVEngine1","Manta"
0.108571428571429,0.81055900621118,20,60,0.1,5,"RUN1","SVEngine1","Manta"
0.112857142857143,0.84012539184953,20,60,0.1,50,"RUN1","SVEngine1","Manta"
0.123571428571429,0.89873417721519,20,60,0.1,100,"RUN1","SVEngine1","Manta"
0.125,0.950331125827815,20,60,0.1,150,"RUN1","SVEngine1","Manta"
0.125,0.979522184300341,20,60,0.1,200,"RUN1","SVEngine1","Manta"
0.361428571428571,0.828789531079607,20,60,0.2,2,"RUN1","SVEngine1","Manta"
0.367857142857143,0.85038503850385,20,60,0.2,5,"RUN1","SVEngine1","Manta"
0.39,0.901785714285714,20,60,0.2,50,"RUN1","SVEngine1","Manta"
0.409285714285714,0.952380952380952,20,60,0.2,100,"RUN1","SVEngine1","Manta"
0.415714285714286,0.975862068965517,20,60,0.2,150,"RUN1","SVEngine1","Manta"
0.415714285714286,0.97923875432526,20,60,0.2,200,"RUN1","SVEngine1","Manta"
0.752857142857143,0.917553191489362,20,60,0.5,2,"RUN1","SVEngine1","Manta"
0.767142857142857,0.940899932840833,20,60,0.5,5,"RUN1","SVEngine1","Manta"
0.782857142857143,0.957632817753867,20,60,0.5,50,"RUN1","SVEngine1","Manta"
0.798571428571429,0.967224080267559,20,60,0.5,100,"RUN1","SVEngine1","Manta"
0.798571428571429,0.967224080267559,20,60,0.5,150,"RUN1","SVEngine1","Manta"
0.798571428571429,0.967224080267559,20,60,0.5,200,"RUN1","SVEngine1","Manta"
0.840714285714286,0.932098765432099,20,60,0.8,2,"RUN1","SVEngine1","Manta"
0.859285714285714,0.957009345794393,20,60,0.8,5,"RUN1","SVEngine1","Manta"
0.862857142857143,0.958929682638457,20,60,0.8,50,"RUN1","SVEngine1","Manta"
0.865714285714286,0.959627329192547,20,60,0.8,100,"RUN1","SVEngine1","Manta"
0.865714285714286,0.960223741454319,20,60,0.8,150,"RUN1","SVEngine1","Manta"
0.865714285714286,0.960223741454319,20,60,0.8,200,"RUN1","SVEngine1","Manta"
0.852142857142857,0.928702010968921,20,60,1,2,"RUN1","SVEngine1","Manta"
0.867857142857143,0.95079950799508,20,60,1,5,"RUN1","SVEngine1","Manta"
0.869285714285714,0.952059004302397,20,60,1,50,"RUN1","SVEngine1","Manta"
0.874285714285714,0.952264381884945,20,60,1,100,"RUN1","SVEngine1","Manta"
0.874285714285714,0.952264381884945,20,60,1,150,"RUN1","SVEngine1","Manta"
0.874285714285714,0.952847519902021,20,60,1,200,"RUN1","SVEngine1","Manta"
0.0214285714285714,0.818181818181818,20,75,0.05,2,"RUN1","SVEngine1","Manta"
0.0214285714285714,0.818181818181818,20,75,0.05,5,"RUN1","SVEngine1","Manta"
0.0214285714285714,0.818181818181818,20,75,0.05,50,"RUN1","SVEngine1","Manta"
0.0235714285714286,0.876923076923077,20,75,0.05,100,"RUN1","SVEngine1","Manta"
0.0235714285714286,0.934426229508197,20,75,0.05,150,"RUN1","SVEngine1","Manta"
0.0235714285714286,0.966101694915254,20,75,0.05,200,"RUN1","SVEngine1","Manta"
0.105,0.787692307692308,20,75,0.1,2,"RUN1","SVEngine1","Manta"
0.108571428571429,0.811145510835913,20,75,0.1,5,"RUN1","SVEngine1","Manta"
0.113571428571429,0.841121495327103,20,75,0.1,50,"RUN1","SVEngine1","Manta"
0.124285714285714,0.896551724137931,20,75,0.1,100,"RUN1","SVEngine1","Manta"
0.125714285714286,0.953795379537954,20,75,0.1,150,"RUN1","SVEngine1","Manta"
0.125714285714286,0.979661016949153,20,75,0.1,200,"RUN1","SVEngine1","Manta"
0.36,0.826985854189336,20,75,0.2,2,"RUN1","SVEngine1","Manta"
0.366428571428571,0.848518111964874,20,75,0.2,5,"RUN1","SVEngine1","Manta"
0.388571428571429,0.89977728285078,20,75,0.2,50,"RUN1","SVEngine1","Manta"
0.408571428571429,0.951357466063348,20,75,0.2,100,"RUN1","SVEngine1","Manta"
0.415,0.974770642201835,20,75,0.2,150,"RUN1","SVEngine1","Manta"
0.415,0.978135788262371,20,75,0.2,200,"RUN1","SVEngine1","Manta"
0.757857142857143,0.919814446653413,20,75,0.5,2,"RUN1","SVEngine1","Manta"
0.771428571428571,0.94243641231593,20,75,0.5,5,"RUN1","SVEngine1","Manta"
0.787142857142857,0.958472873409243,20,75,0.5,50,"RUN1","SVEngine1","Manta"
0.802142857142857,0.967355096602265,20,75,0.5,100,"RUN1","SVEngine1","Manta"
0.802142857142857,0.967355096602265,20,75,0.5,150,"RUN1","SVEngine1","Manta"
0.802142857142857,0.967355096602265,20,75,0.5,200,"RUN1","SVEngine1","Manta"
0.836428571428571,0.93184634448575,20,75,0.8,2,"RUN1","SVEngine1","Manta"
0.855,0.956848030018762,20,75,0.8,5,"RUN1","SVEngine1","Manta"
0.858571428571429,0.958775765146783,20,75,0.8,50,"RUN1","SVEngine1","Manta"
0.862142857142857,0.959501557632399,20,75,0.8,100,"RUN1","SVEngine1","Manta"
0.862142857142857,0.960099750623441,20,75,0.8,150,"RUN1","SVEngine1","Manta"
0.862142857142857,0.960099750623441,20,75,0.8,200,"RUN1","SVEngine1","Manta"
0.852857142857143,0.927615571776156,20,75,1,2,"RUN1","SVEngine1","Manta"
0.87,0.950306748466258,20,75,1,5,"RUN1","SVEngine1","Manta"
0.872142857142857,0.952176578786021,20,75,1,50,"RUN1","SVEngine1","Manta"
0.876428571428571,0.952351863164325,20,75,1,100,"RUN1","SVEngine1","Manta"
0.876428571428571,0.952351863164325,20,75,1,150,"RUN1","SVEngine1","Manta"
0.876428571428571,0.952933985330073,20,75,1,200,"RUN1","SVEngine1","Manta"
0.0228571428571429,0.811594202898551,20,90,0.05,2,"RUN1","SVEngine1","Manta"
