"Sensitivity","Precision","TP","Truth","TP_tmp","FP","T_coverage","N_coverage","VAF","BND_threshold"
0.0121428571428571,1,17,1400,33,0,20,15,0.05,2
0.0121428571428571,1,17,1400,33,0,20,15,0.05,5
0.0121428571428571,1,17,1400,33,0,20,15,0.05,50
0.0128571428571429,1,18,1400,34,0,20,15,0.05,100
0.0128571428571429,1,18,1400,34,0,20,15,0.05,150
0.0128571428571429,1,18,1400,34,0,20,15,0.05,200
0.100714285714286,0.968888888888889,141,1400,218,7,20,15,0.1,2
0.100714285714286,0.973333333333333,141,1400,219,6,20,15,0.1,5
0.100714285714286,0.973333333333333,141,1400,219,6,20,15,0.1,50
0.102142857142857,0.973568281938326,143,1400,221,6,20,15,0.1,100
0.102142857142857,0.973568281938326,143,1400,221,6,20,15,0.1,150
0.102142857142857,0.973568281938326,143,1400,221,6,20,15,0.1,200
0.344285714285714,0.961538461538462,482,1400,725,29,20,15,0.2,2
0.347142857142857,0.970783532536521,486,1400,731,22,20,15,0.2,5
0.348571428571429,0.970860927152318,488,1400,733,22,20,15,0.2,50
0.355714285714286,0.971241830065359,498,1400,743,22,20,15,0.2,100
0.357142857142857,0.971316818774446,500,1400,745,22,20,15,0.2,150
0.357142857142857,0.971316818774446,500,1400,745,22,20,15,0.2,200
0.63,0.953433307024467,882,1400,1208,59,20,15,0.5,2
0.645714285714286,0.973101265822785,904,1400,1230,34,20,15,0.5,5
0.650714285714286,0.973249409913454,911,1400,1237,34,20,15,0.5,50
0.658571428571429,0.973478939157566,922,1400,1248,34,20,15,0.5,100
0.659285714285714,0.973499610288387,923,1400,1249,34,20,15,0.5,150
0.659285714285714,0.973499610288387,923,1400,1249,34,20,15,0.5,200
0.671428571428571,0.959245283018868,940,1400,1271,54,20,15,0.8,2
0.683571428571429,0.975018925056775,957,1400,1288,33,20,15,0.8,5
0.690714285714286,0.975206611570248,967,1400,1298,33,20,15,0.8,50
0.691428571428571,0.975225225225225,968,1400,1299,33,20,15,0.8,100
0.691428571428571,0.975225225225225,968,1400,1299,33,20,15,0.8,150
0.691428571428571,0.975225225225225,968,1400,1299,33,20,15,0.8,200
0.681428571428571,0.960960960960961,954,1400,1280,52,20,15,1,2
0.692857142857143,0.974436090225564,970,1400,1296,34,20,15,1,5
0.697142857142857,0.974550898203593,976,1400,1302,34,20,15,1,50
0.697857142857143,0.974569932685116,977,1400,1303,34,20,15,1,100
0.697857142857143,0.974569932685116,977,1400,1303,34,20,15,1,150
0.697857142857143,0.974569932685116,977,1400,1303,34,20,15,1,200
0.0121428571428571,1,17,1400,33,0,20,30,0.05,2
0.0121428571428571,1,17,1400,33,0,20,30,0.05,5
