"Sensitivity","Precision","TP","Truth","TP_tmp","FP","T_coverage","N_coverage","VAF","BND_threshold"
0.0564285714285714,0.833333333333333,79,1400,125,25,20,15,0.05,2
0.0578571428571429,0.866666666666667,81,1400,130,20,20,15,0.05,5
0.0592857142857143,0.893333333333333,83,1400,134,16,20,15,0.05,50
0.0628571428571429,0.902597402597403,88,1400,139,15,20,15,0.05,100
0.0635714285714286,0.909090909090909,89,1400,140,14,20,15,0.05,150
0.0635714285714286,0.909090909090909,89,1400,140,14,20,15,0.05,200
0.225,0.852313167259786,315,1400,479,83,20,15,0.1,2
0.233571428571429,0.882562277580071,327,1400,496,66,20,15,0.1,5
0.246428571428571,0.923487544483986,345,1400,519,43,20,15,0.1,50
0.256428571428571,0.952296819787986,359,1400,539,27,20,15,0.1,100
0.258571428571429,0.96113074204947,362,1400,544,22,20,15,0.1,150
0.259285714285714,0.962897526501767,363,1400,545,21,20,15,0.1,200
0.475,0.859192825112108,665,1400,958,157,20,15,0.2,2
0.489285714285714,0.879712746858169,685,1400,980,134,20,15,0.2,5
0.522857142857143,0.92870036101083,732,1400,1029,79,20,15,0.2,50
0.546428571428571,0.95169946332737,765,1400,1064,54,20,15,0.2,100
0.550714285714286,0.960573476702509,771,1400,1072,44,20,15,0.2,150
0.552142857142857,0.964991023339318,773,1400,1075,39,20,15,0.2,200
0.719285714285714,0.914634146341463,1007,1400,1350,126,20,15,0.5,2
0.736428571428571,0.936141304347826,1031,1400,1378,94,20,15,0.5,5
0.752142857142857,0.956284153005464,1053,1400,1400,64,20,15,0.5,50
0.760714285714286,0.963847203274216,1065,1400,1413,53,20,15,0.5,100
0.760714285714286,0.967808219178082,1065,1400,1413,47,20,15,0.5,150
0.761428571428571,0.96915695681974,1066,1400,1414,45,20,15,0.5,200
0.760714285714286,0.922626788036411,1065,1400,1419,119,20,15,0.8,2
0.775714285714286,0.942596216568819,1086,1400,1445,88,20,15,0.8,5
0.786428571428571,0.958005249343832,1101,1400,1460,64,20,15,0.8,50
0.788571428571429,0.9625,1104,1400,1463,57,20,15,0.8,100
0.790714285714286,0.967018469656992,1107,1400,1466,50,20,15,0.8,150
0.790714285714286,0.968295904887715,1107,1400,1466,48,20,15,0.8,200
0.764285714285714,0.92327530625403,1070,1400,1432,119,20,15,1,2
0.780714285714286,0.940568475452196,1093,1400,1456,92,20,15,1,5
0.79,0.953896103896104,1106,1400,1469,71,20,15,1,50
0.794285714285714,0.959661678594665,1112,1400,1475,62,20,15,1,100
0.795,0.962818003913894,1113,1400,1476,57,20,15,1,150
0.795714285714286,0.965359477124183,1114,1400,1477,53,20,15,1,200
0.0564285714285714,0.862068965517241,79,1400,125,20,20,30,0.05,2
0.0578571428571429,0.896551724137931,81,1400,130,15,20,30,0.05,5
0.0592857142857143,0.924137931034483,83,1400,134,11,20,30,0.05,50
0.0628571428571429,0.932885906040268,88,1400,139,10,20,30,0.05,100
0.0635714285714286,0.939597315436242,89,1400,140,9,20,30,0.05,150
0.0635714285714286,0.939597315436242,89,1400,140,9,20,30,0.05,200
0.224285714285714,0.85663082437276,314,1400,478,80,20,30,0.1,2
0.232857142857143,0.887096774193548,326,1400,495,63,20,30,0.1,5
0.245714285714286,0.92831541218638,344,1400,518,40,20,30,0.1,50
0.255714285714286,0.95729537366548,358,1400,538,24,20,30,0.1,100
0.257857142857143,0.966192170818505,361,1400,543,19,20,30,0.1,150
0.258571428571429,0.96797153024911,362,1400,544,18,20,30,0.1,200
0.474285714285714,0.862162162162162,664,1400,957,153,20,30,0.2,2
0.488571428571429,0.882777276825969,684,1400,979,130,20,30,0.2,5
0.522857142857143,0.932910244786945,732,1400,1029,74,20,30,0.2,50
0.546428571428571,0.955974842767296,765,1400,1064,49,20,30,0.2,100
0.550714285714286,0.964896489648965,771,1400,1072,39,20,30,0.2,150
0.552857142857143,0.969369369369369,774,1400,1076,34,20,30,0.2,200
0.712857142857143,0.91660970608339,998,1400,1341,122,20,30,0.5,2
0.73,0.938313913639479,1022,1400,1369,90,20,30,0.5,5
0.745714285714286,0.958649207443143,1044,1400,1391,60,20,30,0.5,50
0.754285714285714,0.966276668960771,1056,1400,1404,49,20,30,0.5,100
0.754285714285714,0.970283344851417,1056,1400,1404,43,20,30,0.5,150
0.755,0.9716459197787,1057,1400,1405,41,20,30,0.5,200
0.755714285714286,0.924688932547479,1058,1400,1412,115,20,30,0.8,2
0.770714285714286,0.944809461235217,1079,1400,1438,84,20,30,0.8,5
0.781428571428571,0.960343688037013,1094,1400,1453,60,20,30,0.8,50
0.783571428571429,0.964877402253148,1097,1400,1456,53,20,30,0.8,100
0.785714285714286,0.969435215946844,1100,1400,1459,46,20,30,0.8,150
0.785714285714286,0.970725216234198,1100,1400,1459,44,20,30,0.8,200
0.758571428571429,0.924675324675325,1062,1400,1424,116,20,30,1,2
0.775,0.942094990240729,1085,1400,1448,89,20,30,1,5
0.784285714285714,0.955526487900589,1098,1400,1461,68,20,30,1,50
0.788571428571429,0.961336828309305,1104,1400,1467,59,20,30,1,100
0.789285714285714,0.964520367936925,1105,1400,1468,54,20,30,1,150
0.79,0.967083607636603,1106,1400,1469,50,20,30,1,200
0.0564285714285714,0.862068965517241,79,1400,125,20,20,45,0.05,2
0.0578571428571429,0.896551724137931,81,1400,130,15,20,45,0.05,5
0.0592857142857143,0.924137931034483,83,1400,134,11,20,45,0.05,50
0.0628571428571429,0.932885906040268,88,1400,139,10,20,45,0.05,100
0.0635714285714286,0.939597315436242,89,1400,140,9,20,45,0.05,150
0.0635714285714286,0.939597315436242,89,1400,140,9,20,45,0.05,200
0.224285714285714,0.855098389982111,314,1400,478,81,20,45,0.1,2
0.232857142857143,0.885509838998211,326,1400,495,64,20,45,0.1,5
0.245714285714286,0.926654740608229,344,1400,518,41,20,45,0.1,50
0.255714285714286,0.955595026642984,358,1400,538,25,20,45,0.1,100
0.258571428571429,0.966252220248668,362,1400,544,19,20,45,0.1,150
0.259285714285714,0.968028419182948,363,1400,545,18,20,45,0.1,200
0.472857142857143,0.862691960252936,662,1400,955,152,20,45,0.2,2
0.487142857142857,0.883363471971067,682,1400,977,129,20,45,0.2,5
0.520714285714286,0.932727272727273,729,1400,1026,74,20,45,0.2,50
0.544285714285714,0.955855855855856,762,1400,1061,49,20,45,0.2,100
0.548571428571429,0.964801444043321,768,1400,1069,39,20,45,0.2,150
0.550714285714286,0.969286359530262,771,1400,1073,34,20,45,0.2,200
