"Sensitivity","Precision","TP","Truth","TP_tmp","FP","T_coverage","N_coverage","VAF","BND_threshold"
0.0178571428571429,0.9,25,1400,54,6,20,15,0.05,2
0.0178571428571429,0.9,25,1400,54,6,20,15,0.05,5
0.0178571428571429,0.9,25,1400,54,6,20,15,0.05,50
0.02,0.934426229508197,28,1400,57,4,20,15,0.05,100
0.0207142857142857,1,29,1400,58,0,20,15,0.05,150
0.0207142857142857,1,29,1400,58,0,20,15,0.05,200
0.135714285714286,0.772839506172839,190,1400,313,92,20,15,0.1,2
0.137142857142857,0.782178217821782,192,1400,316,88,20,15,0.1,5
0.144285714285714,0.824120603015075,202,1400,328,70,20,15,0.1,50
0.156428571428571,0.891472868217054,219,1400,345,42,20,15,0.1,100
0.158571428571429,0.950819672131147,222,1400,348,18,20,15,0.1,150
0.158571428571429,0.97752808988764,222,1400,348,8,20,15,0.1,200
0.429285714285714,0.836346336822074,601,1400,879,172,20,15,0.2,2
0.432857142857143,0.843660629170639,606,1400,885,164,20,15,0.2,5
0.445,0.877551020408163,623,1400,903,126,20,15,0.2,50
0.459285714285714,0.935222672064777,643,1400,924,64,20,15,0.2,100
0.462857142857143,0.963692946058091,648,1400,929,35,20,15,0.2,150
0.463571428571429,0.971786833855799,649,1400,930,27,20,15,0.2,200
0.78,0.932555123216602,1092,1400,1438,104,20,15,0.5,2
0.797857142857143,0.950617283950617,1117,1400,1463,76,20,15,0.5,5
0.811428571428571,0.960466623460791,1136,1400,1482,61,20,15,0.5,50
0.818571428571429,0.970722186076773,1146,1400,1492,45,20,15,0.5,100
0.818571428571429,0.973255055446836,1146,1400,1492,41,20,15,0.5,150
0.818571428571429,0.973255055446836,1146,1400,1492,41,20,15,0.5,200
0.850714285714286,0.945197044334975,1191,1400,1535,89,20,15,0.8,2
0.867857142857143,0.962345679012346,1215,1400,1559,61,20,15,0.8,5
0.877857142857143,0.965644171779141,1229,1400,1574,56,20,15,0.8,50
0.878571428571429,0.966850828729282,1230,1400,1575,54,20,15,0.8,100
0.878571428571429,0.966850828729282,1230,1400,1575,54,20,15,0.8,150
0.878571428571429,0.966850828729282,1230,1400,1575,54,20,15,0.8,200
0.862857142857143,0.944512195121951,1208,1400,1549,91,20,15,1,2
0.88,0.96031746031746,1232,1400,1573,65,20,15,1,5
0.883571428571429,0.961117861482382,1237,1400,1582,64,20,15,1,50
0.883571428571429,0.961702127659574,1237,1400,1582,63,20,15,1,100
0.883571428571429,0.961702127659574,1237,1400,1582,63,20,15,1,150
0.883571428571429,0.962872793670116,1237,1400,1582,61,20,15,1,200
0.0207142857142857,0.895522388059702,29,1400,60,7,20,30,0.05,2
0.0207142857142857,0.895522388059702,29,1400,60,7,20,30,0.05,5
0.0207142857142857,0.895522388059702,29,1400,60,7,20,30,0.05,50
0.0235714285714286,0.941176470588235,33,1400,64,4,20,30,0.05,100
0.0242857142857143,1,34,1400,65,0,20,30,0.05,150
0.0242857142857143,1,34,1400,65,0,20,30,0.05,200
0.140714285714286,0.773493975903614,197,1400,321,94,20,30,0.1,2
0.142142857142857,0.784503631961259,199,1400,324,89,20,30,0.1,5
