"Sensitivity","Precision","TP","Truth","TP_tmp","FP","T_coverage","N_coverage","VAF","BND_threshold"
0.055,0.831081081081081,77,1400,123,25,20,15,0.05,2
0.0564285714285714,0.864864864864865,79,1400,128,20,20,15,0.05,5
0.0578571428571429,0.891891891891892,81,1400,132,16,20,15,0.05,50
0.0592857142857143,0.905405405405405,83,1400,134,14,20,15,0.05,150
0.0592857142857143,0.905405405405405,83,1400,134,14,20,15,0.05,200
0.208571428571429,0.822669104204753,292,1400,450,97,20,15,0.1,2
0.225,0.879341864716636,315,1400,481,66,20,15,0.1,5
0.237857142857143,0.921389396709324,333,1400,504,43,20,15,0.1,50
0.247142857142857,0.959780621572212,346,1400,525,22,20,15,0.1,150
0.247857142857143,0.961608775137112,347,1400,526,21,20,15,0.1,200
0.425,0.832858499525166,595,1400,877,176,20,15,0.2,2
0.459285714285714,0.883190883190883,643,1400,930,123,20,15,0.2,5
0.495714285714286,0.936372269705603,694,1400,986,67,20,15,0.2,50
0.508571428571429,0.960952380952381,712,1400,1009,41,20,15,0.2,150
0.510714285714286,0.964761904761905,715,1400,1013,37,20,15,0.2,200
0.601428571428571,0.869144981412639,842,1400,1169,176,20,15,0.5,2
0.656428571428571,0.932342007434944,919,1400,1254,91,20,15,0.5,5
0.677142857142857,0.955390334572491,948,1400,1285,60,20,15,0.5,50
0.663571428571429,0.965019011406844,929,1400,1269,46,20,15,0.5,150
0.664285714285714,0.966514459665145,930,1400,1270,44,20,15,0.5,200
0.645714285714286,0.879577464788732,904,1400,1249,171,20,15,0.8,2
0.700714285714286,0.938028169014084,981,1400,1332,88,20,15,0.8,5
0.71,0.956059532246634,994,1400,1349,62,20,15,0.8,50
0.69,0.964963503649635,966,1400,1322,48,20,15,0.8,150
0.690714285714286,0.966398831263696,967,1400,1323,46,20,15,0.8,200
0.659285714285714,0.881742738589212,923,1400,1275,171,20,15,1,2
0.715,0.938450899031812,1001,1400,1357,89,20,15,1,5
0.715714285714286,0.953179594689029,1002,1400,1364,67,20,15,1,50
0.694285714285714,0.961815561959654,972,1400,1335,53,20,15,1,150
0.695714285714286,0.964646464646465,974,1400,1337,49,20,15,1,200
0.055,0.86013986013986,77,1400,123,20,20,30,0.05,2
0.0564285714285714,0.895104895104895,79,1400,128,15,20,30,0.05,5
0.0578571428571429,0.923076923076923,81,1400,132,11,20,30,0.05,50
0.0592857142857143,0.937062937062937,83,1400,134,9,20,30,0.05,150
0.0592857142857143,0.937062937062937,83,1400,134,9,20,30,0.05,200
0.208571428571429,0.827205882352941,292,1400,450,94,20,30,0.1,2
0.225,0.884191176470588,315,1400,481,63,20,30,0.1,5
0.237857142857143,0.926470588235294,333,1400,504,40,20,30,0.1,50
0.247142857142857,0.965073529411765,346,1400,525,19,20,30,0.1,150
