"Sensitivity","Precision","TP","Truth","TP_tmp","FP","T_coverage","N_coverage","VAF","BND_threshold"
0.00785714285714286,0.970588235294118,11,1400,33,1,20,15,0.05,2
0.00785714285714286,1,11,1400,34,0,20,15,0.05,5
0.00785714285714286,1,11,1400,34,0,20,15,0.05,50
0.00928571428571429,1,13,1400,36,0,20,15,0.05,100
0.00928571428571429,1,13,1400,36,0,20,15,0.05,150
0.00928571428571429,1,13,1400,36,0,20,15,0.05,200
0.0735714285714286,0.919431279620853,103,1400,194,17,20,15,0.1,2
0.08,0.990521327014218,112,1400,209,2,20,15,0.1,5
0.08,0.990521327014218,112,1400,209,2,20,15,0.1,50
0.0828571428571429,0.990697674418605,116,1400,213,2,20,15,0.1,100
0.0828571428571429,0.990697674418605,116,1400,213,2,20,15,0.1,150
0.0828571428571429,0.990697674418605,116,1400,213,2,20,15,0.1,200
0.265,0.921331316187595,371,1400,609,52,20,15,0.2,2
0.282857142857143,0.972768532526475,396,1400,643,18,20,15,0.2,5
0.282857142857143,0.972768532526475,396,1400,643,18,20,15,0.2,50
0.290714285714286,0.973214285714286,407,1400,654,18,20,15,0.2,100
0.292142857142857,0.973293768545994,409,1400,656,18,20,15,0.2,150
0.292142857142857,0.973293768545994,409,1400,656,18,20,15,0.2,200
0.564285714285714,0.916182572614108,790,1400,1104,101,20,15,0.5,2
0.613571428571429,0.976763485477178,859,1400,1177,28,20,15,0.5,5
0.613571428571429,0.976763485477178,859,1400,1177,28,20,15,0.5,50
0.623571428571429,0.977030352748154,873,1400,1191,28,20,15,0.5,100
0.624285714285714,0.977049180327869,874,1400,1192,28,20,15,0.5,150
0.624285714285714,0.977049180327869,874,1400,1192,28,20,15,0.5,200
0.618571428571429,0.920807453416149,866,1400,1186,102,20,15,0.8,2
0.667857142857143,0.975931677018634,935,1400,1257,31,20,15,0.8,5
0.668571428571429,0.975950349107836,936,1400,1258,31,20,15,0.8,50
0.669285714285714,0.975968992248062,937,1400,1259,31,20,15,0.8,100
0.669285714285714,0.975968992248062,937,1400,1259,31,20,15,0.8,150
0.669285714285714,0.975968992248062,937,1400,1259,31,20,15,0.8,200
0.633571428571429,0.919786096256685,887,1400,1204,105,20,15,1,2
0.682857142857143,0.974025974025974,956,1400,1275,34,20,15,1,5
0.682857142857143,0.974025974025974,956,1400,1275,34,20,15,1,50
0.685,0.974085365853659,959,1400,1278,34,20,15,1,100
0.685714285714286,0.974105102817974,960,1400,1279,34,20,15,1,150
0.685714285714286,0.974105102817974,960,1400,1279,34,20,15,1,200
0.0107142857142857,0.973684210526316,15,1400,37,1,20,30,0.05,2
0.0107142857142857,1,15,1400,38,0,20,30,0.05,5
0.0107142857142857,1,15,1400,38,0,20,30,0.05,50
0.0121428571428571,1,17,1400,40,0,20,30,0.05,100
0.0121428571428571,1,17,1400,40,0,20,30,0.05,150
0.0121428571428571,1,17,1400,40,0,20,30,0.05,200
0.0771428571428571,0.909502262443439,108,1400,201,20,20,30,0.1,2
0.0857142857142857,0.990950226244344,120,1400,219,2,20,30,0.1,5
0.0857142857142857,0.990950226244344,120,1400,219,2,20,30,0.1,50
0.0878571428571429,0.991071428571429,123,1400,222,2,20,30,0.1,100
0.0878571428571429,0.991071428571429,123,1400,222,2,20,30,0.1,150
0.0878571428571429,0.991071428571429,123,1400,222,2,20,30,0.1,200
0.274285714285714,0.920353982300885,384,1400,624,54,20,30,0.2,2
0.292857142857143,0.973451327433628,410,1400,660,18,20,30,0.2,5
0.292857142857143,0.973451327433628,410,1400,660,18,20,30,0.2,50
0.300714285714286,0.973875181422351,421,1400,671,18,20,30,0.2,100
0.302142857142857,0.973950795947902,423,1400,673,18,20,30,0.2,150
0.302142857142857,0.973950795947902,423,1400,673,18,20,30,0.2,200
0.567142857142857,0.915772089182494,794,1400,1109,102,20,30,0.5,2
0.616428571428571,0.976052848885219,863,1400,1182,29,20,30,0.5,5
0.616428571428571,0.976052848885219,863,1400,1182,29,20,30,0.5,50
0.626428571428571,0.976326530612245,877,1400,1196,29,20,30,0.5,100
0.627142857142857,0.976345840130506,878,1400,1197,29,20,30,0.5,150
0.627142857142857,0.976345840130506,878,1400,1197,29,20,30,0.5,200
0.627142857142857,0.920890937019969,878,1400,1199,103,20,30,0.8,2
