"Sensitivity","Precision","TP","Truth","TP_tmp","FP","T_coverage","N_coverage","VAF","BND_threshold"
0.00785714285714286,0.942857142857143,11,1400,33,2,20,15,0.05,2
0.00785714285714286,1,11,1400,34,0,20,15,0.05,5
0.00785714285714286,1,11,1400,34,0,20,15,0.05,50
0.00928571428571429,1,13,1400,36,0,20,15,0.05,100
0.00928571428571429,1,13,1400,36,0,20,15,0.05,150
0.00928571428571429,1,13,1400,36,0,20,15,0.05,200
0.0771428571428571,0.957746478873239,108,1400,204,9,20,15,0.1,2
0.08,0.990521327014218,112,1400,209,2,20,15,0.1,5
0.08,0.990521327014218,112,1400,209,2,20,15,0.1,50
0.0828571428571429,0.990697674418605,116,1400,213,2,20,15,0.1,100
0.0828571428571429,0.990697674418605,116,1400,213,2,20,15,0.1,150
0.0828571428571429,0.990697674418605,116,1400,213,2,20,15,0.1,200
0.273571428571429,0.945864661654135,383,1400,629,36,20,15,0.2,2
0.282857142857143,0.972768532526475,396,1400,643,18,20,15,0.2,5
0.282857142857143,0.972768532526475,396,1400,643,18,20,15,0.2,50
0.290714285714286,0.973214285714286,407,1400,654,18,20,15,0.2,100
0.292142857142857,0.973293768545994,409,1400,656,18,20,15,0.2,150
0.292142857142857,0.973293768545994,409,1400,656,18,20,15,0.2,200
0.601428571428571,0.95004095004095,842,1400,1160,61,20,15,0.5,2
0.613571428571429,0.976763485477178,859,1400,1177,28,20,15,0.5,5
0.613571428571429,0.976763485477178,859,1400,1177,28,20,15,0.5,50
0.623571428571429,0.977030352748154,873,1400,1191,28,20,15,0.5,100
0.624285714285714,0.977049180327869,874,1400,1192,28,20,15,0.5,150
0.624285714285714,0.977049180327869,874,1400,1192,28,20,15,0.5,200
0.655714285714286,0.951650038372985,918,1400,1240,63,20,15,0.8,2
0.667857142857143,0.975931677018634,935,1400,1257,31,20,15,0.8,5
0.668571428571429,0.975950349107836,936,1400,1258,31,20,15,0.8,50
0.669285714285714,0.975968992248062,937,1400,1259,31,20,15,0.8,100
0.669285714285714,0.975968992248062,937,1400,1259,31,20,15,0.8,150
0.669285714285714,0.975968992248062,937,1400,1259,31,20,15,0.8,200
0.669285714285714,0.949357520786092,937,1400,1256,67,20,15,1,2
0.682857142857143,0.974025974025974,956,1400,1275,34,20,15,1,5
0.682857142857143,0.974025974025974,956,1400,1275,34,20,15,1,50
0.685714285714286,0.974105102817974,960,1400,1279,34,20,15,1,100
0.685714285714286,0.974105102817974,960,1400,1279,34,20,15,1,150
0.685714285714286,0.974105102817974,960,1400,1279,34,20,15,1,200
0.01,0.947368421052632,14,1400,36,2,20,30,0.05,2
0.0107142857142857,1,15,1400,38,0,20,30,0.05,5
0.0107142857142857,1,15,1400,38,0,20,30,0.05,50
0.0121428571428571,1,17,1400,40,0,20,30,0.05,100
0.0121428571428571,1,17,1400,40,0,20,30,0.05,150
0.0121428571428571,1,17,1400,40,0,20,30,0.05,200
0.0821428571428571,0.955156950672646,115,1400,213,10,20,30,0.1,2
0.0857142857142857,0.990950226244344,120,1400,219,2,20,30,0.1,5
0.0857142857142857,0.990950226244344,120,1400,219,2,20,30,0.1,50
0.0878571428571429,0.991071428571429,123,1400,222,2,20,30,0.1,100
0.0878571428571429,0.991071428571429,123,1400,222,2,20,30,0.1,150
0.0878571428571429,0.991071428571429,123,1400,222,2,20,30,0.1,200
0.283571428571429,0.947214076246334,397,1400,646,36,20,30,0.2,2
0.292857142857143,0.973451327433628,410,1400,660,18,20,30,0.2,5
0.292857142857143,0.973451327433628,410,1400,660,18,20,30,0.2,50
0.300714285714286,0.973875181422351,421,1400,671,18,20,30,0.2,100
0.302142857142857,0.973950795947902,423,1400,673,18,20,30,0.2,150
0.302142857142857,0.973950795947902,423,1400,673,18,20,30,0.2,200
0.604285714285714,0.949470252648737,846,1400,1165,62,20,30,0.5,2
0.616428571428571,0.976052848885219,863,1400,1182,29,20,30,0.5,5
0.616428571428571,0.976052848885219,863,1400,1182,29,20,30,0.5,50
0.626428571428571,0.976326530612245,877,1400,1196,29,20,30,0.5,100
0.627142857142857,0.976345840130506,878,1400,1197,29,20,30,0.5,150
0.627142857142857,0.976345840130506,878,1400,1197,29,20,30,0.5,200
0.665,0.952887537993921,931,1400,1254,62,20,30,0.8,2
0.677142857142857,0.976190476190476,948,1400,1271,31,20,30,0.8,5
0.677857142857143,0.976208749040675,949,1400,1272,31,20,30,0.8,50
0.678571428571429,0.976226993865031,950,1400,1273,31,20,30,0.8,100
0.678571428571429,0.976226993865031,950,1400,1273,31,20,30,0.8,150
0.678571428571429,0.976226993865031,950,1400,1273,31,20,30,0.8,200
0.673571428571429,0.950338600451467,943,1400,1263,66,20,30,1,2
0.686428571428571,0.974144486692015,961,1400,1281,34,20,30,1,5
0.686428571428571,0.974144486692015,961,1400,1281,34,20,30,1,50
0.689285714285714,0.974222896133434,965,1400,1285,34,20,30,1,100
0.689285714285714,0.974222896133434,965,1400,1285,34,20,30,1,150
0.689285714285714,0.974222896133434,965,1400,1285,34,20,30,1,200
0.0107142857142857,0.95,15,1400,38,2,20,45,0.05,2
0.0107142857142857,1,15,1400,39,0,20,45,0.05,5
0.0107142857142857,1,15,1400,39,0,20,45,0.05,50
0.0121428571428571,1,17,1400,41,0,20,45,0.05,100
0.0121428571428571,1,17,1400,41,0,20,45,0.05,150
0.0121428571428571,1,17,1400,41,0,20,45,0.05,200
0.0864285714285714,0.957081545064378,121,1400,223,10,20,45,0.1,2
0.09,0.991341991341991,126,1400,229,2,20,45,0.1,5
