"Caller","Sensitivity","Precision","T_coverage","N_coverage","VAF","BND_threshold"
"MantaLumpyIntersect",0.00785714285714286,0.942857142857143,20,15,0.05,2
"MantaLumpyIntersect",0.00785714285714286,1,20,15,0.05,5
"MantaLumpyIntersect",0.00785714285714286,1,20,15,0.05,50
"MantaLumpyIntersect",0.00928571428571429,1,20,15,0.05,100
"MantaLumpyIntersect",0.00928571428571429,1,20,15,0.05,150
"MantaLumpyIntersect",0.00928571428571429,1,20,15,0.05,200
"MantaLumpyIntersect",0.0771428571428571,0.957746478873239,20,15,0.1,2
"MantaLumpyIntersect",0.08,0.990521327014218,20,15,0.1,5
"MantaLumpyIntersect",0.08,0.990521327014218,20,15,0.1,50
"MantaLumpyIntersect",0.0828571428571429,0.990697674418605,20,15,0.1,100
"MantaLumpyIntersect",0.0828571428571429,0.990697674418605,20,15,0.1,150
"MantaLumpyIntersect",0.0828571428571429,0.990697674418605,20,15,0.1,200
"MantaLumpyIntersect",0.273571428571429,0.945864661654135,20,15,0.2,2
"MantaLumpyIntersect",0.282857142857143,0.972768532526475,20,15,0.2,5
"MantaLumpyIntersect",0.282857142857143,0.972768532526475,20,15,0.2,50
"MantaLumpyIntersect",0.290714285714286,0.973214285714286,20,15,0.2,100
"MantaLumpyIntersect",0.292142857142857,0.973293768545994,20,15,0.2,150
"MantaLumpyIntersect",0.292142857142857,0.973293768545994,20,15,0.2,200
"MantaLumpyIntersect",0.601428571428571,0.95004095004095,20,15,0.5,2
"MantaLumpyIntersect",0.613571428571429,0.976763485477178,20,15,0.5,5
"MantaLumpyIntersect",0.613571428571429,0.976763485477178,20,15,0.5,50
"MantaLumpyIntersect",0.623571428571429,0.977030352748154,20,15,0.5,100
"MantaLumpyIntersect",0.624285714285714,0.977049180327869,20,15,0.5,150
"MantaLumpyIntersect",0.624285714285714,0.977049180327869,20,15,0.5,200
"MantaLumpyIntersect",0.655714285714286,0.951650038372985,20,15,0.8,2
"MantaLumpyIntersect",0.667857142857143,0.975931677018634,20,15,0.8,5
"MantaLumpyIntersect",0.668571428571429,0.975950349107836,20,15,0.8,50
"MantaLumpyIntersect",0.669285714285714,0.975968992248062,20,15,0.8,100
"MantaLumpyIntersect",0.669285714285714,0.975968992248062,20,15,0.8,150
"MantaLumpyIntersect",0.669285714285714,0.975968992248062,20,15,0.8,200
"MantaLumpyIntersect",0.669285714285714,0.949357520786092,20,15,1,2
"MantaLumpyIntersect",0.682857142857143,0.974025974025974,20,15,1,5
"MantaLumpyIntersect",0.682857142857143,0.974025974025974,20,15,1,50
"MantaLumpyIntersect",0.685714285714286,0.974105102817974,20,15,1,100
"MantaLumpyIntersect",0.685714285714286,0.974105102817974,20,15,1,150
"MantaLumpyIntersect",0.685714285714286,0.974105102817974,20,15,1,200
"MantaLumpyIntersect",0.01,0.947368421052632,20,30,0.05,2
"MantaLumpyIntersect",0.0107142857142857,1,20,30,0.05,5
"MantaLumpyIntersect",0.0107142857142857,1,20,30,0.05,50
"MantaLumpyIntersect",0.0121428571428571,1,20,30,0.05,100
"MantaLumpyIntersect",0.0121428571428571,1,20,30,0.05,150
"MantaLumpyIntersect",0.0121428571428571,1,20,30,0.05,200
"MantaLumpyIntersect",0.0821428571428571,0.955156950672646,20,30,0.1,2
"MantaLumpyIntersect",0.0857142857142857,0.990950226244344,20,30,0.1,5
"MantaLumpyIntersect",0.0857142857142857,0.990950226244344,20,30,0.1,50
"MantaLumpyIntersect",0.0878571428571429,0.991071428571429,20,30,0.1,100
"MantaLumpyIntersect",0.0878571428571429,0.991071428571429,20,30,0.1,150
"MantaLumpyIntersect",0.0878571428571429,0.991071428571429,20,30,0.1,200
"MantaLumpyIntersect",0.283571428571429,0.947214076246334,20,30,0.2,2
"MantaLumpyIntersect",0.292857142857143,0.973451327433628,20,30,0.2,5
"MantaLumpyIntersect",0.292857142857143,0.973451327433628,20,30,0.2,50
"MantaLumpyIntersect",0.300714285714286,0.973875181422351,20,30,0.2,100
"MantaLumpyIntersect",0.302142857142857,0.973950795947902,20,30,0.2,150
"MantaLumpyIntersect",0.302142857142857,0.973950795947902,20,30,0.2,200
"MantaLumpyIntersect",0.604285714285714,0.949470252648737,20,30,0.5,2
"MantaLumpyIntersect",0.616428571428571,0.976052848885219,20,30,0.5,5
"MantaLumpyIntersect",0.616428571428571,0.976052848885219,20,30,0.5,50
"MantaLumpyIntersect",0.626428571428571,0.976326530612245,20,30,0.5,100
"MantaLumpyIntersect",0.627142857142857,0.976345840130506,20,30,0.5,150
"MantaLumpyIntersect",0.627142857142857,0.976345840130506,20,30,0.5,200
