"Caller","Sensitivity","Precision","T_coverage","N_coverage","VAF","BND_threshold"
"MantaLumpyUnion",0.0571428571428571,0.79874213836478,20,15,0.05,2
"MantaLumpyUnion",0.0585714285714286,0.835443037974684,20,15,0.05,5
"MantaLumpyUnion",0.06,0.860759493670886,20,15,0.05,50
"MantaLumpyUnion",0.0635714285714286,0.88125,20,15,0.05,100
"MantaLumpyUnion",0.0642857142857143,0.91025641025641,20,15,0.05,150
"MantaLumpyUnion",0.0642857142857143,0.91025641025641,20,15,0.05,200
"MantaLumpyUnion",0.222142857142857,0.736280487804878,20,15,0.1,2
"MantaLumpyUnion",0.235,0.773700305810398,20,15,0.1,5
"MantaLumpyUnion",0.247142857142857,0.831230283911672,20,15,0.1,50
"MantaLumpyUnion",0.260714285714286,0.897394136807818,20,15,0.1,100
"MantaLumpyUnion",0.262857142857143,0.942372881355932,20,15,0.1,150
"MantaLumpyUnion",0.263571428571429,0.960344827586207,20,15,0.1,200
"MantaLumpyUnion",0.481428571428571,0.77027027027027,20,15,0.2,2
"MantaLumpyUnion",0.502857142857143,0.799520766773163,20,15,0.2,5
"MantaLumpyUnion",0.535,0.869709543568465,20,15,0.2,50
"MantaLumpyUnion",0.557857142857143,0.932700603968939,20,15,0.2,100
"MantaLumpyUnion",0.560714285714286,0.95679012345679,20,15,0.2,150
"MantaLumpyUnion",0.562857142857143,0.966252220248668,20,15,0.2,200
"MantaLumpyUnion",0.750714285714286,0.887045309508615,20,15,0.5,2
"MantaLumpyUnion",0.767857142857143,0.916020671834625,20,15,0.5,5
"MantaLumpyUnion",0.782857142857143,0.945466491458607,20,15,0.5,50
"MantaLumpyUnion",0.792142857142857,0.962864721485411,20,15,0.5,100
"MantaLumpyUnion",0.792857142857143,0.965448504983389,20,15,0.5,150
"MantaLumpyUnion",0.792857142857143,0.966733200266134,20,15,0.5,200
"MantaLumpyUnion",0.837142857142857,0.901949202598937,20,15,0.8,2
